epoch,step,train_loss,val_loss
0,49,1.5656757354736328,
0,99,1.3588708639144897,
0,149,0.8908056020736694,
0,199,0.42341896891593933,
0,249,0.5288130640983582,
0,299,0.24882984161376953,
0,349,0.3229629695415497,
0,399,0.3033914566040039,
0,449,0.2716890573501587,
0,499,0.09375610947608948,
0,549,0.08421365916728973,
0,599,0.17641939222812653,
0,649,0.07681845873594284,
0,699,0.41032636165618896,
0,749,0.08563831448554993,
0,799,0.06159492954611778,
0,849,0.2263404130935669,
0,899,0.18103663623332977,
0,949,0.04770732671022415,
0,999,0.10382527112960815,
0,1049,0.07543815672397614,
0,1099,0.16169583797454834,
0,1117,,0.08690847456455231
1,1149,0.03161925449967384,
1,1199,0.026301512494683266,
1,1249,0.05032487213611603,
1,1299,0.04135648533701897,
1,1349,0.01899908110499382,
1,1399,0.06396997720003128,
1,1449,0.04887702316045761,
1,1499,0.13754788041114807,
1,1549,0.05996361002326012,
1,1599,0.17835041880607605,
1,1649,0.05930783227086067,
1,1699,0.03641888499259949,
1,1749,0.02266773208975792,
1,1799,0.029847271740436554,
1,1849,0.0027769210282713175,
1,1899,0.011331750079989433,
1,1949,0.18560773134231567,
1,1999,0.3341198265552521,
1,2049,0.017274383455514908,
1,2099,0.0867202952504158,
1,2149,0.03097021020948887,
1,2199,-0.0033827959559857845,
1,2235,,0.05300421640276909
2,2249,0.11717946827411652,
2,2299,0.13682903349399567,
2,2349,0.012273916974663734,
2,2399,0.1091185212135315,
2,2449,0.0005152886733412743,
2,2499,0.1997276246547699,
2,2549,0.1467597782611847,
2,2599,0.12066686153411865,
2,2649,0.00956770870834589,
2,2699,0.022341640666127205,
2,2749,0.02743612788617611,
2,2799,0.002489131409674883,
2,2849,0.00416736863553524,
2,2899,0.006342190317809582,
2,2949,0.06705226004123688,
2,2999,0.033498164266347885,
2,3049,0.027168098837137222,
2,3099,-0.03432232886552811,
2,3149,0.26728636026382446,
2,3199,0.08707994967699051,
2,3249,0.0014101779088377953,
2,3299,0.17189069092273712,
2,3349,0.023798026144504547,
2,3353,,0.02646327205002308
3,3399,0.012378411367535591,
3,3449,0.0015858977567404509,
3,3499,0.07772896438837051,
3,3549,0.018854234367609024,
3,3599,-0.006222282536327839,
3,3649,0.06387051194906235,
3,3699,0.0003445018082857132,
3,3749,-0.0042925141751766205,
3,3799,0.008672676980495453,
3,3849,0.03170565515756607,
3,3899,0.018668370321393013,
3,3949,-0.0044271210208535194,
3,3999,-0.019236808642745018,
3,4049,0.043294455856084824,
3,4099,0.005307087674736977,
3,4149,0.0010393460979685187,
3,4199,-0.000947222113609314,
3,4249,0.10889995843172073,
3,4299,0.12864704430103302,
3,4349,0.02756768837571144,
3,4399,0.011422400362789631,
3,4449,0.014798690564930439,
3,4471,,0.03461682051420212
4,4499,0.002772684209048748,
4,4549,0.011407487094402313,
