epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.24172,1.31131,4.79053,1.40057,0.02443,0.78134,0.08708,0.0604,1.12282,3.66797,1.21221,0.0702941,0.00330065,0.00330065
2,17.8536,1.19369,4.17279,1.28463,0.14483,0.27295,0.12662,0.07833,1.36947,3.30645,1.47817,0.0402472,0.00658708,0.00658708
3,26.2428,1.26535,3.66291,1.33541,0.21559,0.40024,0.23043,0.13697,1.46018,2.97394,1.50065,0.0101532,0.00982635,0.00982635
4,34.6955,1.33041,3.38581,1.34812,0.315,0.49674,0.39394,0.26334,1.22662,3.62897,1.33319,0.00978786,0.00978786,0.00978786
5,43.1539,1.2912,3.13763,1.3282,0.45242,0.36927,0.33759,0.2109,1.36482,2.60852,1.39306,0.00971714,0.00971714,0.00971714
6,51.6396,1.29041,2.85225,1.29154,0.55053,0.59932,0.59182,0.38456,1.2459,2.1927,1.27227,0.00964643,0.00964643,0.00964643
7,60.0753,1.27135,2.65691,1.29116,0.46725,0.61975,0.58262,0.38686,1.23617,2.09008,1.2741,0.00957571,0.00957571,0.00957571
8,68.4953,1.25223,2.47996,1.26009,0.48208,0.63437,0.58569,0.38389,1.33659,2.2083,1.4166,0.009505,0.009505,0.009505
9,76.9145,1.22051,2.29791,1.24897,0.54741,0.58871,0.62928,0.42752,1.22498,1.90963,1.26313,0.00943429,0.00943429,0.00943429
10,85.3218,1.20846,2.16063,1.23484,0.55672,0.67258,0.67223,0.44505,1.31769,1.76083,1.31198,0.00936357,0.00936357,0.00936357
11,93.7374,1.17644,2.03598,1.21755,0.75104,0.63139,0.75654,0.50679,1.27019,1.55216,1.30686,0.00929286,0.00929286,0.00929286
12,102.188,1.18048,1.95361,1.22112,0.67659,0.66193,0.72464,0.50896,1.17772,1.62022,1.26558,0.00922214,0.00922214,0.00922214
13,110.619,1.18285,1.82958,1.2372,0.71531,0.69053,0.73789,0.50631,1.17585,1.54616,1.22826,0.00915143,0.00915143,0.00915143
14,119.015,1.1194,1.71246,1.1572,0.66291,0.77913,0.79756,0.5644,1.15636,1.3768,1.21662,0.00908071,0.00908071,0.00908071
15,127.478,1.11712,1.58879,1.16658,0.7453,0.74991,0.7767,0.53665,1.20188,1.29211,1.22444,0.00901,0.00901,0.00901
16,135.929,1.11465,1.51095,1.16653,0.67464,0.84574,0.82014,0.56497,1.19248,1.25592,1.23087,0.00893929,0.00893929,0.00893929
17,144.364,1.11075,1.44108,1.17234,0.72904,0.80722,0.81537,0.57663,1.11565,1.23258,1.17853,0.00886857,0.00886857,0.00886857
18,152.843,1.10294,1.41039,1.14953,0.77755,0.79915,0.84088,0.58444,1.15127,1.18669,1.1918,0.00879786,0.00879786,0.00879786
19,161.263,1.08018,1.30635,1.13683,0.74496,0.81711,0.82565,0.57901,1.09726,1.16314,1.17615,0.00872714,0.00872714,0.00872714
20,169.717,1.07516,1.28619,1.13893,0.75221,0.88107,0.82419,0.5894,1.14593,1.19587,1.20441,0.00865643,0.00865643,0.00865643
21,178.156,1.05925,1.20766,1.13528,0.72856,0.88447,0.87221,0.60193,1.11063,1.05479,1.17151,0.00858571,0.00858571,0.00858571
22,186.632,1.06176,1.18443,1.13836,0.79817,0.87013,0.87604,0.61011,1.09404,1.08972,1.16064,0.008515,0.008515,0.008515
23,195.11,1.03194,1.10292,1.11991,0.75839,0.79503,0.84569,0.58969,1.13313,1.09097,1.18254,0.00844429,0.00844429,0.00844429
24,203.521,1.04282,1.0939,1.12367,0.73044,0.80479,0.85668,0.61304,1.15165,1.07527,1.19961,0.00837357,0.00837357,0.00837357
25,212.012,0.99894,1.03291,1.09526,0.83174,0.82705,0.90151,0.62098,1.09817,0.93827,1.16688,0.00830286,0.00830286,0.00830286
26,220.446,1.00778,1.00711,1.08837,0.78792,0.88506,0.88567,0.63339,1.10743,1.02145,1.16197,0.00823214,0.00823214,0.00823214
27,228.955,0.99783,0.9769,1.08919,0.74113,0.80907,0.8415,0.57857,1.12619,1.19543,1.19156,0.00816143,0.00816143,0.00816143
28,237.421,0.99914,0.98462,1.09891,0.82882,0.78306,0.88599,0.63214,1.09236,0.96295,1.15602,0.00809071,0.00809071,0.00809071
29,245.901,0.98203,0.92289,1.07591,0.80184,0.83459,0.89328,0.62464,1.10348,0.97709,1.14763,0.00802,0.00802,0.00802
30,254.387,0.97898,0.91132,1.08059,0.83642,0.90204,0.91433,0.64522,1.08188,0.86205,1.14576,0.00794929,0.00794929,0.00794929
31,262.891,0.96963,0.85856,1.07078,0.79427,0.86419,0.88234,0.61442,1.13857,0.95497,1.17598,0.00787857,0.00787857,0.00787857
32,271.405,0.94572,0.85921,1.05413,0.82555,0.87328,0.89563,0.62135,1.12456,0.95815,1.15599,0.00780786,0.00780786,0.00780786
33,280.008,0.95587,0.8372,1.0664,0.83608,0.84207,0.8883,0.6308,1.12358,0.93424,1.18645,0.00773714,0.00773714,0.00773714
34,288.503,0.93104,0.82847,1.05224,0.85113,0.83567,0.8924,0.62067,1.12356,0.86004,1.17467,0.00766643,0.00766643,0.00766643
35,297.001,0.92191,0.79545,1.05143,0.85685,0.83244,0.90255,0.63727,1.13198,0.88563,1.21276,0.00759571,0.00759571,0.00759571
36,305.466,0.91901,0.79909,1.04653,0.86913,0.85607,0.92712,0.65323,1.08128,0.8498,1.14517,0.007525,0.007525,0.007525
37,314.024,0.89263,0.74563,1.03226,0.86269,0.86789,0.92323,0.64703,1.11987,0.86475,1.181,0.00745429,0.00745429,0.00745429
38,322.494,0.89912,0.74463,1.03021,0.81889,0.82677,0.89112,0.63129,1.10573,0.94622,1.16813,0.00738357,0.00738357,0.00738357
39,331.001,0.89257,0.7251,1.02391,0.83879,0.87421,0.90822,0.64494,1.10784,0.85791,1.15049,0.00731286,0.00731286,0.00731286
40,339.475,0.88986,0.70106,1.02528,0.84344,0.89012,0.91057,0.65682,1.09423,0.85112,1.15988,0.00724214,0.00724214,0.00724214
41,347.943,0.88371,0.68047,1.02134,0.84556,0.83466,0.89365,0.6294,1.1004,0.891,1.15587,0.00717143,0.00717143,0.00717143
42,356.415,0.88691,0.70357,1.02231,0.85812,0.83503,0.90338,0.6488,1.11893,0.86983,1.16092,0.00710071,0.00710071,0.00710071
43,364.963,0.87307,0.66059,1.01458,0.87656,0.86803,0.92607,0.65657,1.0953,0.86422,1.15278,0.00703,0.00703,0.00703
44,373.491,0.85168,0.66099,1.00347,0.82827,0.88065,0.90731,0.66221,1.05702,0.83901,1.12248,0.00695929,0.00695929,0.00695929
45,382.011,0.83558,0.63204,0.99309,0.86849,0.86027,0.90394,0.62564,1.13889,0.84335,1.18722,0.00688857,0.00688857,0.00688857
46,390.511,0.8386,0.62711,1.00561,0.85113,0.85044,0.89957,0.62846,1.15081,0.93016,1.17886,0.00681786,0.00681786,0.00681786
47,398.983,0.85017,0.62053,0.99695,0.85004,0.86668,0.91098,0.65083,1.06774,0.82609,1.14437,0.00674714,0.00674714,0.00674714
48,407.45,0.82538,0.61555,0.99774,0.87262,0.88799,0.92509,0.67787,1.09452,0.80767,1.15201,0.00667643,0.00667643,0.00667643
49,415.922,0.82563,0.59666,0.99068,0.87967,0.88549,0.93074,0.66009,1.11806,0.79795,1.14912,0.00660571,0.00660571,0.00660571
50,424.426,0.80249,0.57279,0.99174,0.87954,0.90192,0.92695,0.64969,1.14036,0.79343,1.16952,0.006535,0.006535,0.006535
51,432.93,0.80645,0.57948,0.98684,0.86176,0.88139,0.93425,0.6585,1.11961,0.81203,1.18002,0.00646429,0.00646429,0.00646429
52,441.392,0.79899,0.59047,0.99118,0.80594,0.89585,0.91314,0.65251,1.10655,0.88412,1.16142,0.00639357,0.00639357,0.00639357
53,449.854,0.78815,0.56914,0.97686,0.89248,0.87435,0.94025,0.65638,1.13366,0.78067,1.16875,0.00632286,0.00632286,0.00632286
54,458.439,0.77966,0.55786,0.96441,0.85086,0.86366,0.91448,0.64819,1.11597,0.85028,1.20466,0.00625214,0.00625214,0.00625214
55,466.934,0.78035,0.55329,0.97775,0.88775,0.83994,0.91854,0.65893,1.11634,0.83204,1.1585,0.00618143,0.00618143,0.00618143
56,475.439,0.75284,0.54071,0.96758,0.82541,0.84096,0.8911,0.63043,1.12139,0.87961,1.16887,0.00611071,0.00611071,0.00611071
57,484.002,0.76887,0.54223,0.96793,0.88176,0.84128,0.91047,0.64872,1.12002,0.9279,1.16837,0.00604,0.00604,0.00604
