epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,492.502,0.75506,0.53597,0.97067,0.86273,0.87292,0.92517,0.65252,1.11973,0.80469,1.18044,0.00596929,0.00596929,0.00596929
59,500.986,0.74626,0.5408,0.95531,0.91531,0.85465,0.91693,0.64587,1.15657,0.83057,1.18774,0.00589857,0.00589857,0.00589857
60,509.457,0.74298,0.52766,0.95155,0.8612,0.88211,0.91769,0.65178,1.07248,0.76792,1.13455,0.00582786,0.00582786,0.00582786
61,518.036,0.74775,0.50806,0.96291,0.91039,0.86725,0.93791,0.64876,1.14631,0.82204,1.18676,0.00575714,0.00575714,0.00575714
62,526.644,0.73563,0.50646,0.95096,0.92209,0.89771,0.94308,0.66399,1.1227,0.78605,1.19822,0.00568643,0.00568643,0.00568643
63,535.194,0.74243,0.50536,0.9541,0.88436,0.89295,0.93423,0.64872,1.16573,0.81262,1.20773,0.00561571,0.00561571,0.00561571
64,543.727,0.70392,0.48535,0.93725,0.92012,0.91622,0.94762,0.65956,1.15496,0.74499,1.1969,0.005545,0.005545,0.005545
65,552.24,0.70042,0.4974,0.94733,0.90824,0.88022,0.94151,0.66351,1.12507,0.72381,1.18372,0.00547429,0.00547429,0.00547429
66,560.727,0.70465,0.48033,0.93566,0.89003,0.87369,0.93206,0.65711,1.11619,0.75994,1.17992,0.00540357,0.00540357,0.00540357
67,569.235,0.69799,0.48756,0.94454,0.8942,0.87742,0.93458,0.66286,1.11517,0.73883,1.18038,0.00533286,0.00533286,0.00533286
68,577.767,0.69671,0.47322,0.93403,0.8705,0.90149,0.9312,0.66312,1.09999,0.76784,1.15802,0.00526214,0.00526214,0.00526214
69,586.232,0.67775,0.46798,0.92665,0.90959,0.90952,0.94623,0.67471,1.07711,0.70392,1.13803,0.00519143,0.00519143,0.00519143
70,594.784,0.66921,0.46491,0.92947,0.92293,0.87321,0.92982,0.66275,1.08111,0.73199,1.1489,0.00512071,0.00512071,0.00512071
71,603.357,0.66701,0.45372,0.92878,0.89642,0.87342,0.92675,0.66443,1.08434,0.74219,1.1602,0.00505,0.00505,0.00505
72,611.895,0.65536,0.44968,0.92099,0.86058,0.90417,0.9222,0.64839,1.09285,0.71961,1.19166,0.00497929,0.00497929,0.00497929
73,620.441,0.6642,0.45082,0.91296,0.89199,0.89355,0.92896,0.64995,1.14704,0.73617,1.21108,0.00490857,0.00490857,0.00490857
74,628.954,0.64752,0.44032,0.91172,0.88798,0.8715,0.93301,0.65961,1.12437,0.72443,1.20895,0.00483786,0.00483786,0.00483786
75,637.503,0.62471,0.42288,0.90689,0.90293,0.8855,0.92574,0.66179,1.06198,0.71058,1.15381,0.00476714,0.00476714,0.00476714
76,646.001,0.62249,0.43168,0.90496,0.89538,0.90848,0.93696,0.66913,1.093,0.76396,1.16204,0.00469643,0.00469643,0.00469643
77,654.625,0.63008,0.4213,0.91325,0.90476,0.91497,0.94068,0.67606,1.08,0.67895,1.17276,0.00462571,0.00462571,0.00462571
78,663.18,0.62313,0.42281,0.91143,0.9174,0.89556,0.94046,0.6735,1.08964,0.68445,1.17657,0.004555,0.004555,0.004555
79,671.645,0.62018,0.41396,0.90519,0.91475,0.92065,0.93984,0.6637,1.13684,0.69663,1.20361,0.00448429,0.00448429,0.00448429
80,680.173,0.60352,0.40766,0.89945,0.88398,0.88902,0.92763,0.662,1.09031,0.79174,1.14477,0.00441357,0.00441357,0.00441357
81,688.772,0.60682,0.40764,0.90669,0.92487,0.8895,0.93492,0.66718,1.10777,0.70658,1.17327,0.00434286,0.00434286,0.00434286
82,697.339,0.59149,0.40016,0.89886,0.87988,0.89138,0.93053,0.66717,1.09979,0.70418,1.17365,0.00427214,0.00427214,0.00427214
83,705.894,0.57781,0.39175,0.88617,0.9321,0.89346,0.94246,0.67506,1.09737,0.72814,1.16615,0.00420143,0.00420143,0.00420143
84,714.402,0.58664,0.3904,0.89546,0.91842,0.91838,0.94672,0.67902,1.09222,0.68854,1.18177,0.00413071,0.00413071,0.00413071
85,722.88,0.57541,0.39701,0.88664,0.9074,0.92952,0.9387,0.66307,1.09983,0.71232,1.18878,0.00406,0.00406,0.00406
86,731.398,0.57893,0.38876,0.88079,0.88839,0.90864,0.94988,0.67477,1.10373,0.71991,1.1825,0.00398929,0.00398929,0.00398929
87,739.86,0.55034,0.37755,0.87868,0.91675,0.91065,0.94501,0.68412,1.10105,0.67455,1.19765,0.00391857,0.00391857,0.00391857
88,748.344,0.5581,0.38454,0.88407,0.92705,0.88958,0.94837,0.67149,1.1232,0.69374,1.20941,0.00384786,0.00384786,0.00384786
89,756.934,0.54908,0.37532,0.88033,0.90748,0.90115,0.93777,0.67225,1.11204,0.72756,1.21217,0.00377714,0.00377714,0.00377714
90,765.541,0.54234,0.36793,0.88345,0.90457,0.9161,0.94248,0.67083,1.11987,0.6757,1.22603,0.00370643,0.00370643,0.00370643
91,774.157,0.5395,0.37159,0.87893,0.90802,0.89414,0.94172,0.67472,1.1271,0.70324,1.21802,0.00363571,0.00363571,0.00363571
92,782.701,0.54672,0.37253,0.87247,0.91333,0.91179,0.94931,0.68165,1.10731,0.68979,1.18549,0.003565,0.003565,0.003565
93,791.224,0.52631,0.35988,0.87289,0.90725,0.90082,0.94159,0.67574,1.09552,0.69731,1.1823,0.00349429,0.00349429,0.00349429
94,799.688,0.52611,0.3621,0.87679,0.90238,0.90197,0.9325,0.66049,1.09246,0.74603,1.19774,0.00342357,0.00342357,0.00342357
95,808.134,0.51727,0.35781,0.87099,0.91886,0.87809,0.94516,0.67433,1.10969,0.69062,1.2113,0.00335286,0.00335286,0.00335286
96,816.654,0.5125,0.35038,0.86625,0.92107,0.88068,0.93358,0.65797,1.12494,0.70646,1.21992,0.00328214,0.00328214,0.00328214
97,825.169,0.50384,0.34933,0.86108,0.86552,0.92014,0.94164,0.67379,1.09822,0.67655,1.18234,0.00321143,0.00321143,0.00321143
98,833.653,0.505,0.35407,0.86755,0.9033,0.89959,0.94056,0.67401,1.10768,0.66136,1.21278,0.00314071,0.00314071,0.00314071
99,842.159,0.50034,0.34504,0.8602,0.90894,0.89568,0.94919,0.67734,1.11054,0.65761,1.19875,0.00307,0.00307,0.00307
100,850.756,0.49663,0.34229,0.86502,0.92591,0.87741,0.94434,0.67724,1.11209,0.65875,1.21677,0.00299929,0.00299929,0.00299929
101,859.376,0.49458,0.33946,0.85532,0.92141,0.8996,0.94631,0.67126,1.11393,0.67113,1.20209,0.00292857,0.00292857,0.00292857
102,867.894,0.48781,0.32803,0.85594,0.90681,0.90409,0.93662,0.67275,1.09222,0.69242,1.19325,0.00285786,0.00285786,0.00285786
103,876.411,0.47919,0.32836,0.85308,0.90739,0.89845,0.93973,0.66909,1.12432,0.71406,1.20884,0.00278714,0.00278714,0.00278714
104,884.908,0.46393,0.33083,0.85314,0.91567,0.89881,0.94008,0.66855,1.12262,0.69111,1.21658,0.00271643,0.00271643,0.00271643
105,893.385,0.4702,0.32953,0.85311,0.92249,0.88898,0.94419,0.68079,1.09728,0.70548,1.19157,0.00264571,0.00264571,0.00264571
106,901.948,0.46612,0.32233,0.85495,0.91852,0.89879,0.94217,0.67209,1.11979,0.70805,1.21836,0.002575,0.002575,0.002575
107,910.45,0.45234,0.33053,0.84255,0.91712,0.90284,0.94592,0.67614,1.10893,0.65391,1.2289,0.00250429,0.00250429,0.00250429
108,918.971,0.44656,0.3145,0.8446,0.93464,0.90184,0.94716,0.67418,1.13257,0.63839,1.2467,0.00243357,0.00243357,0.00243357
109,927.545,0.45343,0.31883,0.84315,0.93888,0.90481,0.95273,0.685,1.13451,0.63121,1.25575,0.00236286,0.00236286,0.00236286
110,936.079,0.4372,0.30909,0.83777,0.91336,0.91767,0.94952,0.67369,1.11682,0.66356,1.22682,0.00229214,0.00229214,0.00229214
111,944.551,0.43863,0.31038,0.84182,0.93061,0.91692,0.94657,0.6739,1.11786,0.71429,1.21986,0.00222143,0.00222143,0.00222143
112,953.052,0.43392,0.30841,0.84235,0.92463,0.89561,0.94554,0.67514,1.1038,0.72598,1.19551,0.00215071,0.00215071,0.00215071
113,961.602,0.41951,0.30131,0.83455,0.93994,0.89734,0.94678,0.67378,1.11582,0.68757,1.20953,0.00208,0.00208,0.00208
114,970.113,0.41718,0.29869,0.83904,0.89768,0.92054,0.94597,0.67293,1.11146,0.67355,1.20067,0.00200929,0.00200929,0.00200929
115,978.598,0.42264,0.30104,0.84567,0.91148,0.90577,0.94839,0.6757,1.09147,0.64919,1.19487,0.00193857,0.00193857,0.00193857
116,987.169,0.4022,0.29344,0.83358,0.92821,0.88249,0.94919,0.68097,1.0962,0.6469,1.21042,0.00186786,0.00186786,0.00186786
117,995.669,0.40465,0.29997,0.83576,0.92886,0.90359,0.95093,0.67799,1.108,0.64761,1.21803,0.00179714,0.00179714,0.00179714
118,1004.21,0.40451,0.29239,0.83411,0.92854,0.91802,0.95416,0.69154,1.09604,0.62247,1.19948,0.00172643,0.00172643,0.00172643
119,1012.75,0.3984,0.28848,0.82531,0.92515,0.90513,0.94858,0.67919,1.10135,0.63333,1.20269,0.00165571,0.00165571,0.00165571
120,1021.26,0.39256,0.28571,0.83146,0.93759,0.8978,0.9499,0.67663,1.0997,0.6337,1.20073,0.001585,0.001585,0.001585
121,1029.8,0.39363,0.28912,0.82739,0.93507,0.87473,0.95267,0.68358,1.09863,0.6669,1.21145,0.00151429,0.00151429,0.00151429
122,1038.26,0.39686,0.28773,0.82578,0.89621,0.92044,0.9521,0.67752,1.09651,0.66973,1.20131,0.00144357,0.00144357,0.00144357
123,1046.8,0.38221,0.27885,0.82498,0.89547,0.90766,0.94304,0.68095,1.07528,0.67744,1.19273,0.00137286,0.00137286,0.00137286
124,1055.31,0.37521,0.27416,0.82702,0.93953,0.8862,0.95077,0.68677,1.07835,0.67356,1.18602,0.00130214,0.00130214,0.00130214
125,1063.87,0.36261,0.26734,0.82534,0.91976,0.89579,0.94943,0.68472,1.08963,0.66803,1.198,0.00123143,0.00123143,0.00123143
126,1072.37,0.36827,0.26801,0.82167,0.92349,0.90425,0.95111,0.68484,1.08982,0.66402,1.20566,0.00116071,0.00116071,0.00116071
127,1080.9,0.37226,0.27645,0.82072,0.93688,0.88796,0.9444,0.68,1.08218,0.6555,1.20728,0.00109,0.00109,0.00109
128,1089.39,0.36808,0.27425,0.82419,0.9278,0.89367,0.95222,0.69124,1.08758,0.64149,1.20548,0.00101929,0.00101929,0.00101929
129,1097.87,0.36364,0.26787,0.82202,0.92436,0.90279,0.94983,0.68295,1.08574,0.65143,1.20355,0.000948571,0.000948571,0.000948571
130,1106.38,0.35348,0.26274,0.81892,0.91756,0.90963,0.9485,0.68655,1.08216,0.63326,1.19474,0.000877857,0.000877857,0.000877857
131,1122.23,0.35047,0.26108,0.81744,0.92368,0.90852,0.94969,0.68359,1.09394,0.64987,1.20373,0.000807143,0.000807143,0.000807143
132,1130.45,0.34597,0.26256,0.81525,0.91469,0.90814,0.95081,0.67893,1.06367,0.63257,1.18476,0.000736429,0.000736429,0.000736429
133,1138.74,0.3432,0.25837,0.81556,0.93004,0.89222,0.9533,0.68797,1.05981,0.63759,1.1787,0.000665714,0.000665714,0.000665714
134,1146.99,0.34045,0.25615,0.81585,0.91793,0.90605,0.95293,0.6929,1.0733,0.63534,1.18227,0.000595,0.000595,0.000595
135,1155.24,0.33303,0.2541,0.81149,0.92503,0.90154,0.95444,0.69263,1.06245,0.62278,1.17885,0.000524286,0.000524286,0.000524286
136,1163.48,0.33407,0.25386,0.8192,0.89002,0.93091,0.95467,0.69525,1.05939,0.62558,1.17656,0.000453571,0.000453571,0.000453571
137,1171.72,0.32631,0.25141,0.81991,0.91179,0.89763,0.95516,0.69431,1.06204,0.63445,1.18,0.000382857,0.000382857,0.000382857
138,1180.09,0.32909,0.25339,0.81306,0.91389,0.90528,0.95192,0.69352,1.05915,0.62921,1.17928,0.000312143,0.000312143,0.000312143
139,1188.41,0.32129,0.24819,0.81019,0.91359,0.90868,0.95293,0.68852,1.06531,0.63419,1.18166,0.000241429,0.000241429,0.000241429
140,1196.65,0.31742,0.24645,0.81289,0.89497,0.92192,0.95279,0.68944,1.06814,0.63989,1.18501,0.000170714,0.000170714,0.000170714
