epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,390.815,0.48487,0.41562,0.85268,0.9012,0.91589,0.95025,0.68598,1.05256,0.72682,1.23484,0.000115489,0.000115489,0.000115489
43,399.622,0.47551,0.41307,0.86585,0.92007,0.91001,0.95104,0.68481,1.07821,0.71986,1.25546,0.000109599,0.000109599,0.000109599
44,408.376,0.47163,0.39842,0.85239,0.9388,0.87531,0.95114,0.68255,1.08853,0.75768,1.26607,0.000103708,0.000103708,0.000103708
45,417.151,0.46469,0.39991,0.8488,0.92982,0.8892,0.95141,0.68742,1.06527,0.73367,1.25291,9.7818e-05,9.7818e-05,9.7818e-05
46,426.028,0.45476,0.39164,0.85043,0.92765,0.89596,0.95733,0.69989,1.05799,0.67197,1.24866,9.19275e-05,9.19275e-05,9.19275e-05
47,434.962,0.44752,0.38915,0.84763,0.93577,0.89909,0.95704,0.68971,1.06573,0.6792,1.24728,8.6037e-05,8.6037e-05,8.6037e-05
48,443.713,0.43453,0.37522,0.84327,0.91267,0.8926,0.95243,0.69053,1.07189,0.68107,1.24018,8.01465e-05,8.01465e-05,8.01465e-05
49,452.514,0.43317,0.37917,0.84697,0.9328,0.90108,0.95342,0.69655,1.04546,0.66985,1.23661,7.4256e-05,7.4256e-05,7.4256e-05
50,461.348,0.43072,0.3785,0.83949,0.91562,0.92426,0.95334,0.69031,1.07593,0.67903,1.2521,6.83655e-05,6.83655e-05,6.83655e-05
51,478.164,0.42551,0.37068,0.84702,0.94164,0.90208,0.95733,0.68694,1.05982,0.71514,1.2553,6.2475e-05,6.2475e-05,6.2475e-05
52,486.928,0.40858,0.36531,0.83382,0.94024,0.90176,0.95395,0.68934,1.06182,0.69663,1.25517,5.65845e-05,5.65845e-05,5.65845e-05
53,495.719,0.40885,0.36431,0.83037,0.89277,0.91124,0.94709,0.68337,1.05035,0.70369,1.24941,5.0694e-05,5.0694e-05,5.0694e-05
54,504.522,0.40736,0.36321,0.83106,0.93151,0.88915,0.9541,0.6894,1.04715,0.70839,1.24221,4.48035e-05,4.48035e-05,4.48035e-05
55,513.396,0.39831,0.36144,0.83754,0.93498,0.89442,0.95635,0.69201,1.04684,0.69369,1.24697,3.8913e-05,3.8913e-05,3.8913e-05
56,522.241,0.38713,0.35474,0.82914,0.93279,0.89331,0.95185,0.68412,1.05411,0.70274,1.25818,3.30225e-05,3.30225e-05,3.30225e-05
57,531.13,0.38369,0.34868,0.83253,0.93682,0.8949,0.95155,0.68944,1.05202,0.69402,1.25546,2.7132e-05,2.7132e-05,2.7132e-05
58,540.11,0.37965,0.35177,0.82976,0.90538,0.90531,0.94668,0.6878,1.04677,0.6804,1.24885,2.12415e-05,2.12415e-05,2.12415e-05
59,549.06,0.36552,0.33942,0.82667,0.91241,0.89862,0.94396,0.68296,1.05498,0.68844,1.25163,1.5351e-05,1.5351e-05,1.5351e-05
60,557.967,0.37629,0.34478,0.82296,0.9154,0.89762,0.9447,0.68834,1.04925,0.68891,1.25026,9.4605e-06,9.4605e-06,9.4605e-06
