epoch,step,train_accuracy,train_loss,val_accuracy,val_loss
0,49,0.78125,1.2816377878189087,,
0,99,0.8125,0.6512040495872498,,
0,149,0.84375,0.6193475127220154,,
0,199,0.9375,0.26945850253105164,,
0,249,0.9375,0.38224905729293823,,
0,299,0.96875,0.12773770093917847,,
0,349,1.0,0.03905802592635155,,
0,399,1.0,0.044684648513793945,,
0,449,0.9375,0.22201840579509735,,
0,499,0.96875,0.08640435338020325,,
0,549,0.9375,0.1121802106499672,,
0,599,0.96875,0.07841873914003372,,
0,649,1.0,0.023200690746307373,,
0,699,0.96875,0.07018838822841644,,
0,749,1.0,0.01590537279844284,,
0,799,0.90625,0.1720992475748062,,
0,849,1.0,0.031638942658901215,,
0,899,0.9375,0.20008321106433868,,
0,949,0.90625,0.2419477105140686,,
0,999,1.0,0.02089502103626728,,
0,1049,1.0,0.009863215498626232,,
0,1099,1.0,0.012913055717945099,,
0,1117,,,0.9886000156402588,0.046566642820835114
1,1149,0.96875,0.11942590773105621,,
1,1199,0.96875,0.07066597789525986,,
1,1249,1.0,0.0412919782102108,,
1,1299,1.0,0.018249578773975372,,
1,1349,0.96875,0.11929775029420853,,
1,1399,1.0,0.022942544892430305,,
1,1449,0.9375,0.2527512311935425,,
1,1499,0.96875,0.07843974232673645,,
1,1549,0.96875,0.037684038281440735,,
1,1599,0.96875,0.09026838093996048,,
1,1649,0.96875,0.1030312180519104,,
1,1699,1.0,0.02627246081829071,,
1,1749,1.0,0.011623669415712357,,
1,1799,1.0,0.021163029596209526,,
1,1849,0.96875,0.052496399730443954,,
1,1899,0.96875,0.06870865821838379,,
1,1949,1.0,0.008075072430074215,,
1,1999,1.0,0.013344094157218933,,
1,2049,0.96875,0.05664701759815216,,
1,2099,0.96875,0.27952906489372253,,
1,2149,1.0,0.01650085486471653,,
1,2199,0.90625,0.4020712673664093,,
1,2235,,,0.9883999824523926,0.04570137336850166
2,2249,0.9375,0.15430209040641785,,
2,2299,1.0,0.011129152961075306,,
2,2349,1.0,0.005743119865655899,,
2,2399,0.96875,0.03811771050095558,,
2,2449,1.0,0.005360506474971771,,
2,2499,0.96875,0.08178766816854477,,
2,2549,1.0,0.010855310596525669,,
2,2599,1.0,0.010079514235258102,,
2,2649,1.0,0.030689463019371033,,
2,2699,0.96875,0.10181005299091339,,
2,2749,1.0,0.0051114605739712715,,
2,2799,0.96875,0.1501111537218094,,
2,2849,1.0,0.019412938505411148,,
2,2899,1.0,0.004045192617923021,,
2,2949,1.0,0.004663637839257717,,
2,2999,0.96875,0.07303003966808319,,
2,3049,1.0,0.0025576858315616846,,
2,3099,1.0,0.02402965910732746,,
2,3149,0.96875,0.08032789081335068,,
2,3199,1.0,0.04030469432473183,,
2,3249,1.0,0.015404683537781239,,
2,3299,0.96875,0.1614495813846588,,
2,3349,1.0,0.0032305694185197353,,
2,3353,,,0.9926000237464905,0.034903865307569504
3,3399,1.0,0.005285858176648617,,
3,3449,1.0,0.010799108073115349,,
3,3499,1.0,0.01607038453221321,,
3,3549,1.0,0.0028658141382038593,,
3,3599,1.0,0.001955166459083557,,
3,3649,1.0,0.003467563772574067,,
3,3699,1.0,0.002562520792707801,,
3,3749,1.0,0.006864927709102631,,
3,3799,1.0,0.0032001740764826536,,
3,3849,1.0,0.003946684300899506,,
3,3899,1.0,0.004275679122656584,,
3,3949,0.96875,0.05434111878275871,,
3,3999,0.96875,0.08791037648916245,,
3,4049,1.0,0.004221335519105196,,
3,4099,0.96875,0.04693695902824402,,
3,4149,0.96875,0.165518656373024,,
3,4199,1.0,0.022950928658246994,,
3,4249,1.0,0.002629946218803525,,
3,4299,0.96875,0.04005574807524681,,
3,4349,1.0,0.009804188273847103,,
3,4399,1.0,0.0026487780269235373,,
3,4449,1.0,0.021751193329691887,,
3,4471,,,0.9891999959945679,0.042523279786109924
4,4499,0.96875,0.16941890120506287,,
4,4549,1.0,0.0031535224989056587,,
4,4599,1.0,0.003400073852390051,,
4,4649,0.96875,0.033476103097200394,,
4,4699,0.9375,0.17796750366687775,,
4,4749,0.96875,0.04937094449996948,,
4,4799,1.0,0.0031790744978934526,,
4,4849,1.0,0.0016900161281228065,,
4,4899,1.0,0.008558918721973896,,
4,4949,1.0,0.028631968423724174,,
4,4999,0.96875,0.05669510364532471,,
4,5049,1.0,0.0035393103025853634,,
4,5099,1.0,0.001641300623305142,,
4,5149,1.0,0.0042221457697451115,,
4,5199,0.96875,0.24357688426971436,,
4,5249,1.0,0.0033183936029672623,,
4,5299,1.0,0.019079109653830528,,
4,5349,1.0,0.004705124534666538,,
4,5399,0.96875,0.20626947283744812,,
4,5449,1.0,0.0036671950947493315,,
4,5499,0.96875,0.09259116649627686,,
4,5549,1.0,0.012684542685747147,,
4,5589,,,0.9901999831199646,0.035241372883319855
5,5599,1.0,0.004789983853697777,,
5,5649,1.0,0.0054624504409730434,,
5,5699,1.0,0.006636742502450943,,
5,5749,1.0,0.0019169021397829056,,
5,5799,1.0,0.00211694510653615,,
5,5849,1.0,0.007052506320178509,,
5,5899,1.0,0.0018817938398569822,,
5,5949,1.0,0.0266692154109478,,
5,5999,1.0,0.003947739955037832,,
5,6049,1.0,0.0010826557409018278,,
5,6099,1.0,0.009455367922782898,,
5,6149,1.0,0.009159699082374573,,
5,6199,1.0,0.002708598505705595,,
5,6249,1.0,0.002370751230046153,,
5,6299,1.0,0.002451892476528883,,
5,6349,1.0,0.003364991396665573,,
5,6399,1.0,0.001138933002948761,,
5,6449,0.96875,0.10764338076114655,,
5,6499,1.0,0.0027545939665287733,,
5,6549,1.0,0.0013704037992283702,,
5,6599,1.0,0.00222695036791265,,
5,6649,1.0,0.023775141686201096,,
5,6699,0.9375,0.1305481195449829,,
5,6707,,,0.9926000237464905,0.03266966715455055
6,6749,1.0,0.014580518938601017,,
6,6799,1.0,0.0010877721942961216,,
6,6849,1.0,0.005067617632448673,,
6,6899,1.0,0.0013174022315070033,,
6,6949,1.0,0.010019276291131973,,
6,6999,1.0,0.001426522503606975,,
6,7049,1.0,0.006400838028639555,,
6,7099,1.0,0.0012874172534793615,,
6,7149,1.0,0.01578119955956936,,
6,7199,0.96875,0.07271291315555573,,
6,7249,0.9375,0.1939488798379898,,
6,7299,1.0,0.018843499943614006,,
6,7349,1.0,0.0013832213589921594,,
6,7399,1.0,0.004165820311754942,,
6,7449,1.0,0.00204046000726521,,
