epoch,step,train_accuracy,train_loss,val_accuracy,val_loss
0,49,0.84375,0.4437362849712372,,
0,99,0.875,0.41749563813209534,,
0,149,0.90625,0.26254987716674805,,
0,199,0.96875,0.12428826093673706,,
0,249,0.96875,0.10592826455831528,,
0,299,1.0,0.0354141965508461,,
0,349,0.9375,0.1278991550207138,,
0,399,0.96875,0.10675054043531418,,
0,449,0.84375,0.48884081840515137,,
0,499,0.96875,0.11072999238967896,,
0,549,0.96875,0.20166133344173431,,
0,599,0.9375,0.11070562899112701,,
0,649,0.96875,0.12237276881933212,,
0,699,0.90625,0.22940045595169067,,
0,749,0.90625,0.3743371367454529,,
0,799,1.0,0.027887852862477303,,
0,849,0.96875,0.09253791719675064,,
0,899,1.0,0.019426511600613594,,
0,949,1.0,0.030605081468820572,,
0,999,0.96875,0.1250348836183548,,
0,1049,0.9375,0.1999620497226715,,
0,1099,1.0,0.014851275831460953,,
0,1117,,,0.9894000291824341,0.04240744560956955
1,1149,1.0,0.008760199882090092,,
1,1199,1.0,0.012181056663393974,,
1,1249,1.0,0.027790304273366928,,
1,1299,1.0,0.0207256730645895,,
1,1349,1.0,0.022282080724835396,,
1,1399,1.0,0.0039288937114179134,,
1,1449,0.96875,0.11479471623897552,,
1,1499,0.96875,0.048391684889793396,,
1,1549,1.0,0.022627219557762146,,
1,1599,0.96875,0.2568422853946686,,
1,1649,1.0,0.0072085121646523476,,
1,1699,0.96875,0.043784622102975845,,
1,1749,1.0,0.0237694401293993,,
1,1799,1.0,0.005257256794720888,,
1,1849,1.0,0.022683240473270416,,
1,1899,1.0,0.0013044285587966442,,
1,1949,0.96875,0.06422625482082367,,
1,1999,1.0,0.021729934960603714,,
1,2049,1.0,0.006551720201969147,,
1,2099,1.0,0.024744436144828796,,
1,2149,1.0,0.00293270917609334,,
1,2199,1.0,0.002781190676614642,,
1,2235,,,0.9896000027656555,0.03746969625353813
2,2249,1.0,0.028218185529112816,,
2,2299,1.0,0.02405712381005287,,
2,2349,1.0,0.005873727612197399,,
2,2399,0.96875,0.1002952978014946,,
2,2449,1.0,0.00620638532564044,,
2,2499,1.0,0.010722199454903603,,
2,2549,1.0,0.002650952199473977,,
2,2599,0.96875,0.031202001497149467,,
2,2649,0.96875,0.09544786810874939,,
2,2699,0.96875,0.2307567000389099,,
2,2749,1.0,0.0018275085603818297,,
2,2799,0.96875,0.11198805272579193,,
2,2849,1.0,0.001656307140365243,,
2,2899,1.0,0.013024017214775085,,
2,2949,0.9375,0.13785192370414734,,
2,2999,0.96875,0.1729615181684494,,
2,3049,1.0,0.0026961350813508034,,
2,3099,1.0,0.02517431601881981,,
2,3149,1.0,0.0025303184520453215,,
2,3199,0.96875,0.3601522743701935,,
2,3249,1.0,0.00355869485065341,,
2,3299,1.0,0.013481292873620987,,
2,3349,0.96875,0.05928121134638786,,
2,3353,,,0.9860000014305115,0.043287888169288635
3,3399,1.0,0.0009515539277344942,,
3,3449,0.9375,0.2223210334777832,,
3,3499,0.96875,0.03316808119416237,,
3,3549,1.0,0.0003341096162330359,,
3,3599,1.0,0.0006516212015412748,,
3,3649,1.0,0.0026691234670579433,,
3,3699,1.0,0.0023144835140556097,,
3,3749,1.0,0.007228552363812923,,
3,3799,1.0,0.003576819086447358,,
3,3849,1.0,0.0025125881657004356,,
3,3899,1.0,0.0034015816636383533,,
3,3949,1.0,0.001518513192422688,,
3,3999,0.96875,0.09001574665307999,,
3,4049,1.0,0.0005966669414192438,,
3,4099,1.0,0.0037783130537718534,,
3,4149,1.0,0.030122831463813782,,
3,4199,0.9375,0.2779744863510132,,
3,4249,1.0,0.007397668436169624,,
3,4299,0.96875,0.04441981017589569,,
3,4349,1.0,0.003236461663618684,,
3,4399,0.96875,0.027929849922657013,,
3,4449,1.0,0.0007323159370571375,,
3,4471,,,0.9894000291824341,0.038275837898254395
4,4499,1.0,0.0012671771692112088,,
4,4549,1.0,0.032720163464546204,,
4,4599,1.0,0.0021657615434378386,,
4,4649,1.0,0.0021177500020712614,,
4,4699,1.0,0.016861295327544212,,
4,4749,1.0,0.0039058830589056015,,
4,4799,1.0,0.014255048707127571,,
4,4849,1.0,0.007652003783732653,,
4,4899,1.0,0.0059853047132492065,,
4,4949,1.0,0.0009299695957452059,,
4,4999,1.0,0.012688864022493362,,
4,5049,1.0,0.0012931472156196833,,
4,5099,0.96875,0.1266467273235321,,
4,5149,0.96875,0.0565156489610672,,
4,5199,1.0,0.026140708476305008,,
4,5249,1.0,0.0031541858334094286,,
4,5299,1.0,0.004794958047568798,,
4,5349,1.0,0.03596395626664162,,
4,5399,1.0,0.0034859345760196447,,
4,5449,0.96875,0.06494690477848053,,
4,5499,0.96875,0.05054701119661331,,
4,5549,0.96875,0.05541612207889557,,
4,5589,,,0.9854000210762024,0.04953604191541672
