epoch,step,train_loss,val_digit_accuracy,val_loss,val_sequence_accuracy
0,49,0.7174481153488159,,,
0,99,0.2937438488006592,,,
0,149,0.2975626587867737,,,
0,199,0.23198452591896057,,,
0,249,0.38177135586738586,,,
0,299,0.268964558839798,,,
0,349,0.15748268365859985,,,
0,399,0.17624428868293762,,,
0,449,0.1021699607372284,,,
0,499,0.03791192173957825,,,
0,549,0.13942016661167145,,,
0,599,0.08857918530702591,,,
0,649,0.20865938067436218,,,
0,699,0.15196268260478973,,,
0,749,0.05613638460636139,,,
0,799,0.2367246448993683,,,
0,849,0.2692672908306122,,,
0,899,0.14059895277023315,,,
0,949,0.08018660545349121,,,
0,999,0.03152595832943916,,,
0,1049,0.15085770189762115,,,
0,1099,0.008927669376134872,,,
0,1117,,4.129799842834473,0.08332516252994537,0.0
1,1149,0.15304838120937347,,,
1,1199,0.05290636792778969,,,
1,1249,0.023944051936268806,,,
1,1299,0.035345084965229034,,,
1,1349,0.023352336138486862,,,
1,1399,0.03773937746882439,,,
1,1449,0.02111779898405075,,,
1,1499,0.012628761120140553,,,
1,1549,0.04410509765148163,,,
1,1599,0.2288515418767929,,,
1,1649,0.32021093368530273,,,
1,1699,0.004222993738949299,,,
1,1749,0.08558695018291473,,,
1,1799,-0.00023584812879562378,,,
1,1849,0.0072723571211099625,,,
1,1899,0.03190334886312485,,,
1,1949,0.1540648490190506,,,
1,1999,0.04782065004110336,,,
1,2049,0.17050272226333618,,,
1,2099,-0.0072813211008906364,,,
1,2149,-0.009918076917529106,,,
1,2199,0.01434287242591381,,,
1,2235,,4.130799770355225,0.04651163890957832,0.0
2,2249,0.04307910427451134,,,
2,2299,0.002899086568504572,,,
2,2349,0.0665363222360611,,,
2,2399,0.053287893533706665,,,
2,2449,0.13183608651161194,,,
2,2499,0.008838146924972534,,,
2,2549,0.07108944654464722,,,
2,2599,0.04066946357488632,,,
2,2649,0.07044710218906403,,,
2,2699,0.0017295682337135077,,,
2,2749,0.03575723618268967,,,
2,2799,0.19471552968025208,,,
2,2849,-0.025647711008787155,,,
2,2899,-0.007195647340267897,,,
2,2949,-0.0035077519714832306,,,
2,2999,0.004181675612926483,,,
2,3049,0.03293730318546295,,,
2,3099,-0.009045871905982494,,,
2,3149,0.03137316182255745,,,
